Log Kw	S
2.7902513433	5.9790144752
3.0612066889	6.1286151032
2.9993344853	4.8991258018
2.9103306946	5.7949647153
2.8423568392	5.2123294063
2.8262977276	5.1455170224
2.9306109856	5.4681811749
2.6278264251	5.2315023810
2.7598038165	5.1922299234
2.7263263707	5.4866284370
2.7772993683	5.3547557189
2.9163267527	4.6812829071
2.7533187108	6.2049403675
2.5172699033	7.0985295659
2.7540581375	6.0996062389
